company_code,short_name,country,isin_code,sector_group,sector,share_currency,reference_currency
7566,CRCAM Languedoc,France,FR0010461053,services,banking,EUR,EUR
7567,CRCAM Ille,France,FR0000045213,services,banking,EUR,EUR
7568,CRCAM Nord,France,FR0000185514,services,banking,EUR,EUR
7569,CRCAM Nor,France,FR0000044364,services,banking,EUR,EUR
7570,CRCAM Toulouse,France,FR0000045544,services,banking,EUR,EUR
7572,DBV Tech,France,FR0010417345,healthcare,pharmaceuticals and biosciences,EUR,EUR
7573,Derichebourg,France,FR0000053381,services,business services,EUR,EUR
7574,Devoteam,France,FR0000073793,services,professional services and consulting,EUR,EUR
7575,Direct Energie,France,FR0004191674,utilities,electricity distribution and generation,EUR,EUR
7576,Elec Strasbourg,France,FR0000031023,utilities,electricity distribution and generation,EUR,EUR
7577,Elior,France,FR0011950732,consumer,hotels travel gambling and leisure,EUR,EUR
7578,Elis,France,FR0012435121,services,business services,EUR,EUR
7579,Esso Francaise,France,FR0000120669,industrial,petroleum refiners and distributors,EUR,EUR
7580,Maurel et Prom,France,FR0000051070,industrial,oil and gas drilling and exploration,EUR,EUR
7581,Euler Hermes,France,FR0004254035,services,insurance — general,EUR,EUR
7583,Europcar,France,FR0012789949,vehicles,vehicle hiring and leasing,EUR,EUR
7585,Exel Inds,France,FR0004527638,industrial,industrial equipment and light machinery,EUR,EUR
7587,FFP,France,FR0000064784,services,financial services,EUR,EUR
7588,Figeac Aero,France,FR0011665280,industrial,aerospace,EUR,EUR
7589,Financiere Odet,France,FR0000062234,conglomerates,diversified conglomerates,EUR,EUR
7590,Fin Moncey,France,FR0000076986,services,financial services,EUR,EUR
7592,FDL,France,FR0000030181,real estate,residential real estate,EUR,EUR
7593,Fromageries Bel,France,FR0000121857,consumer,food manufacturers,EUR,EUR
7594,GTT,France,FR0011726835,industrial,pipelines and energy storage,EUR,EUR
7595,CRIT,France,FR0000036675,services,business services,EUR,EUR
7596,Fnac Darty,France,FR0011476928,consumer,diversified wholesale and retail,EUR,EUR
7599,Id Logistics,France,FR0010929125,transport,transport logistics and distribution,EUR,EUR
7601,Innate Pharma,France,FR0010331421,healthcare,pharmaceuticals and biosciences,EUR,EUR
7602,Interparfums,France,FR0004024222,consumer,cosmetics jewellery and luxury products,EUR,EUR
7603,Jacquet Metal,France,FR0000033904,primary production,steel production and products,EUR,EUR
7604,Kaufman Broad,France,FR0004007813,construction,construction — residential,EUR,EUR
7605,Korian,France,FR0010386334,healthcare,healthcare services,EUR,EUR
7606,Franc Energie,France,FR0013030152,primary production,oil and gas,EUR,EUR
7607,Nouveaux Const,France,FR0004023208,construction,construction — residential,EUR,EUR
